City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
140,Norman Wells,CA,65.28,-126.83,62.6,51,20,4.7,few clouds,0.0,0.0
141,Airai,TL,-8.93,125.41,56.77,100,85,3.18,overcast clouds,0.0,0.0
142,Gubskaya,RU,44.32,40.64,60.71,83,0,2.98,clear sky,0.0,0.0
143,Oranjemund,NA,-28.55,16.43,58.03,68,0,19.35,clear sky,0.0,0.0
144,Klaksvik,FO,62.23,-6.59,59.0,72,96,14.99,overcast clouds,0.0,0.0
145,Salina Cruz,MX,16.17,-95.2,91.04,51,13,6.78,few clouds,0.0,0.0
146,Yulara,AU,-25.24,130.99,50.0,37,0,4.7,clear sky,0.0,0.0
147,Talara,PE,-4.58,-81.27,72.18,67,4,17.38,clear sky,0.0,0.0
148,Hami,CN,42.8,93.45,85.05,16,0,24.58,clear sky,0.0,0.0
149,Lorengau,PG,-2.02,147.27,81.86,77,95,9.31,light rain,0.33,0.0
150,Husavik,IS,66.04,-17.34,62.6,67,71,14.99,broken clouds,0.0,0.0
151,Anadyr,RU,64.75,177.48,35.6,94,75,6.71,broken clouds,0.0,0.0
152,Bredasdorp,ZA,-34.53,20.04,53.6,81,35,4.7,scattered clouds,0.0,0.0
153,Bambous Virieux,MU,-20.34,57.76,73.0,83,40,11.77,scattered clouds,0.0,0.0
154,Luderitz,NA,-26.65,15.16,60.8,72,0,18.34,clear sky,0.0,0.0
155,Port Elizabeth,ZA,-33.92,25.57,59.0,72,13,21.92,few clouds,0.0,0.0
156,Paamiut,GL,61.99,-49.67,40.5,89,99,8.21,overcast clouds,0.0,0.0
157,Wattegama,LK,6.8,81.48,77.81,81,73,5.88,light rain,0.13,0.0
158,Kununurra,AU,-15.77,128.73,57.2,32,51,7.11,broken clouds,0.0,0.0
159,Grants,US,35.15,-107.85,82.4,13,1,11.41,clear sky,0.0,0.0
160,Luang Prabang,LA,19.89,102.13,75.42,85,55,1.59,broken clouds,0.0,0.0
161,Salisbury,GB,51.07,-1.8,62.01,72,64,11.41,light rain,0.35,0.0
162,Ilinskaya,RU,45.72,40.72,69.75,57,0,4.81,clear sky,0.0,0.0
163,Merauke,ID,-8.47,140.33,77.32,84,59,16.28,broken clouds,0.0,0.0
164,Rensvik,NO,63.1,7.82,60.8,87,75,27.51,light intensity shower rain,0.0,0.0
165,Samarai,PG,-10.62,150.67,78.04,85,88,15.95,moderate rain,1.51,0.0
166,Barguzin,RU,53.62,109.62,60.13,78,58,0.69,light rain,0.29,0.0
167,Karabulak,RU,43.3,44.9,75.2,50,0,4.47,clear sky,0.0,0.0
168,Itarema,BR,-2.92,-39.92,84.61,66,35,14.52,scattered clouds,0.0,0.0
169,Christiana,ZA,-27.91,25.16,45.61,62,0,8.59,clear sky,0.0,0.0
170,Carnarvon,AU,-24.87,113.63,69.8,100,40,10.29,scattered clouds,0.0,0.0
171,Pisco,PE,-13.7,-76.22,62.6,82,90,9.17,mist,0.0,0.0
172,Fethiye,TR,36.62,29.12,77.0,78,0,10.29,clear sky,0.0,0.0
173,Alamos,MX,27.02,-108.93,95.0,44,1,1.99,clear sky,0.0,0.0
