City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Fukue,JP,2020-06-24 22:17:16,32.69,128.84,78.62,91,95,21.16
172,Yashkul,RU,2020-06-24 22:17:16,46.17,45.34,77.34,53,93,9.04
173,Poso,ID,2020-06-24 22:14:28,-1.4,120.75,77.29,74,99,3.6
174,Barranca,PE,2020-06-24 22:16:56,-10.75,-77.77,64.11,77,54,10.13
175,Kodiak,US,2020-06-24 22:17:16,57.79,-152.41,53.6,76,90,6.93
176,Wanaka,NZ,2020-06-24 22:13:14,-44.7,169.15,35.01,92,3,2.57
177,Pak Phanang,TH,2020-06-24 22:17:17,8.35,100.2,80.11,84,100,5.1
178,Fairmont,US,2020-06-24 22:17:17,39.49,-80.14,80.01,46,0,5.61
179,Rocha,UY,2020-06-24 22:17:17,-34.48,-54.33,58.03,95,97,4.27
180,Buchanan,LR,2020-06-24 22:17:17,5.88,-10.05,78.8,94,75,3.36
181,Suntar,RU,2020-06-24 22:17:17,62.14,117.63,62.15,87,49,1.77
182,Dhamrai,BD,2020-06-24 22:17:17,23.92,90.21,84.2,74,75,13.87
183,Kourou,GF,2020-06-24 22:17:17,5.16,-52.65,78.8,94,75,5.48
184,Hirara,JP,2020-06-24 22:17:17,24.8,125.28,84.2,83,75,12.75
185,Novo Cruzeiro,BR,2020-06-24 22:17:17,-17.47,-41.88,55.92,82,23,2.55
186,Katobu,ID,2020-06-24 22:17:17,-4.94,122.53,72.54,93,59,1.81
187,Esperance,AU,2020-06-24 22:13:54,-33.87,121.9,42.8,87,0,8.05
188,Ilinskiy,RU,2020-06-24 22:17:17,55.62,38.12,59.0,47,0,4.47
189,Korla,CN,2020-06-24 22:17:17,41.76,86.15,75.27,24,17,19.6
190,Fortuna,US,2020-06-24 22:17:18,40.6,-124.16,66.0,82,1,14.99
191,Gushikawa,JP,2020-06-24 22:17:18,26.35,127.87,80.01,94,75,8.05
192,Kalmunai,LK,2020-06-24 22:14:08,7.42,81.82,80.06,79,100,4.07
193,Karangasem,ID,2020-06-24 22:17:18,-8.45,115.62,77.0,100,40,4.7
194,Orchard Homes,US,2020-06-24 22:17:18,46.86,-114.05,89.6,22,1,5.82
195,College,US,2020-06-24 22:17:18,64.86,-147.8,59.0,67,90,6.93
196,Kirksville,US,2020-06-24 22:16:00,40.19,-92.58,78.8,47,20,3.13
197,Longyearbyen,SJ,2020-06-24 22:17:18,78.22,15.64,42.8,87,90,2.24
198,Tiznit,MA,2020-06-24 22:17:18,29.58,-9.5,65.79,80,7,1.34
199,Sur,OM,2020-06-24 22:17:18,22.57,59.53,83.75,82,0,7.16
200,Komono,JP,2020-06-24 22:17:18,35.0,136.52,77.0,100,75,8.05
